schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion
Creighton2014,1,0,0,0,0,0
Dayton2014,1,1,1,0,0,0
Duke2014,0,0,0,0,0,0
George Washington2014,0,0,0,0,0,0
Iowa2014,0,0,0,0,0,0
Kansas2014,1,0,0,0,0,0
Kansas St.2014,0,0,0,0,0,0
Kentucky2014,1,1,1,1,1,0
Memphis2014,1,0,0,0,0,0
Michigan2014,1,1,1,0,0,0
North Carolina St.2014,0,0,0,0,0,0
Nebraska2014,0,0,0,0,0,0
North Carolina2014,1,0,0,0,0,0
Ohio St.2014,0,0,0,0,0,0
Oklahoma2014,0,0,0,0,0,0
Oklahoma St.2014,0,0,0,0,0,0
Oregon2014,1,0,0,0,0,0
Pittsburgh2014,1,0,0,0,0,0
Saint Louis2014,1,0,0,0,0,0
San Diego St.2014,1,1,0,0,0,0
Stanford2014,1,1,0,0,0,0
Syracuse2014,1,0,0,0,0,0
Tennessee2014,1,1,0,0,0,0
Texas2014,1,0,0,0,0,0
Connecticut2014,1,1,1,1,1,1
Massachusetts2014,0,0,0,0,0,0
VCU2014,0,0,0,0,0,0
Villanova2014,1,0,0,0,0,0
Wisconsin2014,1,1,1,1,0,0
Xavier2014,0,0,0,0,0,0
Wisconsin2015,1,1,1,1,1,0
Arizona2015,1,1,1,0,0,0
Baylor2015,0,0,0,0,0,0
North Carolina2015,1,1,0,0,0,0
Arkansas2015,1,0,0,0,0,0
Xavier2015,1,1,0,0,0,0
VCU2015,0,0,0,0,0,0
Oregon2015,1,0,0,0,0,0
Oklahoma St.2015,0,0,0,0,0,0
Ohio St.2015,1,0,0,0,0,0
Mississippi2015,0,0,0,0,0,0
BYU2015,0,0,0,0,0,0
Wofford2015,0,0,0,0,0,0
Harvard2015,0,0,0,0,0,0
Georgia St.2015,1,0,0,0,0,0
Texas Southern2015,0,0,0,0,0,0
Coastal Carolina2015,0,0,0,0,0,0
Duke2015,1,1,1,1,1,1
Gonzaga2015,1,1,1,0,0,0
Iowa St.2015,0,0,0,0,0,0
Georgetown2015,1,0,0,0,0,0
Utah2015,1,1,0,0,0,0
SMU2015,0,0,0,0,0,0
Iowa2015,1,0,0,0,0,0
San Diego St.2015,1,0,0,0,0,0
St. John's2015,0,0,0,0,0,0
Davidson2015,0,0,0,0,0,0
UCLA2015,1,1,0,0,0,0
Stephen F. Austin2015,0,0,0,0,0,0
Eastern Washington2015,0,0,0,0,0,0
